Iteration,TotalNodes,MemoryBytes,Phase
498,2,512,Morning_Clean
499,2,512,Morning_Clean
500,2,512,Morning_Clean
501,2,512,Morning_Clean
502,2,512,Morning_Clean
503,2,512,Morning_Clean
504,2,512,Morning_Clean
505,2,512,Morning_Clean
506,2,512,Morning_Clean
507,2,512,Morning_Clean
508,2,512,Morning_Clean
509,2,512,Morning_Clean
510,2,512,Morning_Clean
511,2,512,Morning_Clean
512,2,512,Morning_Clean
513,2,512,Morning_Clean
514,2,512,Morning_Clean
515,2,512,Morning_Clean
516,2,512,Morning_Clean
517,2,512,Morning_Clean
518,2,512,Morning_Clean
519,2,512,Morning_Clean
520,2,512,Morning_Clean
521,2,512,Morning_Clean
522,2,512,Morning_Clean
523,2,512,Morning_Clean
524,2,512,Morning_Clean
525,2,512,Morning_Clean
526,2,512,Morning_Clean
527,2,512,Morning_Clean
528,2,512,Morning_Clean
529,2,512,Morning_Clean
530,2,512,Morning_Clean
531,2,512,Morning_Clean
532,2,512,Morning_Clean
533,2,512,Morning_Clean
534,2,512,Morning_Clean
535,2,512,Morning_Clean
536,2,512,Morning_Clean
537,2,512,Morning_Clean
538,2,512,Morning_Clean
539,2,512,Morning_Clean
540,2,512,Morning_Clean
541,2,512,Morning_Clean
542,2,512,Morning_Clean
543,2,512,Morning_Clean
544,2,512,Morning_Clean
545,2,512,Morning_Clean
546,2,512,Morning_Clean
547,2,512,Morning_Clean
548,2,512,Morning_Clean
549,2,512,Morning_Clean
550,2,512,Morning_Clean
551,2,512,Morning_Clean
552,2,512,Morning_Clean
553,2,512,Morning_Clean
554,2,512,Morning_Clean
555,2,512,Morning_Clean
556,2,512,Morning_Clean
557,2,512,Morning_Clean
558,2,512,Morning_Clean
559,2,512,Morning_Clean
560,2,512,Morning_Clean
561,2,512,Morning_Clean
562,2,512,Morning_Clean
563,2,512,Morning_Clean
564,2,512,Morning_Clean
565,2,512,Morning_Clean
566,2,512,Morning_Clean
567,2,512,Morning_Clean
568,2,512,Morning_Clean
569,2,512,Morning_Clean
570,2,512,Morning_Clean
571,2,512,Morning_Clean
572,2,512,Morning_Clean
573,2,512,Morning_Clean
574,2,512,Morning_Clean
575,2,512,Morning_Clean
576,2,512,Morning_Clean
577,2,512,Morning_Clean
578,2,512,Morning_Clean
579,2,512,Morning_Clean
580,2,512,Morning_Clean
581,2,512,Morning_Clean
582,2,512,Morning_Clean
583,2,512,Morning_Clean
584,2,512,Morning_Clean
585,2,512,Morning_Clean
586,2,512,Morning_Clean
587,2,512,Morning_Clean
588,2,512,Morning_Clean
589,2,512,Morning_Clean
590,2,512,Morning_Clean
591,2,512,Morning_Clean
592,2,512,Morning_Clean
593,2,512,Morning_Clean
594,2,512,Morning_Clean
595,2,512,Morning_Clean
596,2,512,Morning_Clean
597,2,512,Morning_Clean
598,2,512,Morning_Clean
599,2,512,Morning_Clean
600,2,512,Morning_Clean
601,2,512,Morning_Clean
602,2,512,Morning_Clean
